obs_id,train_id,price,carat,cut,color,clarity,depth,table,x,y,z
id_000988,train,4759,1.03,Ideal,H,SI1,61,55,6.56,6.59,4.01
id_000989,test,NA,1,Very Good,F,SI1,58.1,63,6.45,6.36,3.72
id_000990,train,12989,1.16,Ideal,D,VVS2,62,55,6.68,6.72,4.19
id_000991,test,NA,0.51,Ideal,F,VVS1,61.4,56,5.15,5.17,3.17
id_000992,train,2893,0.71,Very Good,F,VS1,62.6,55,5.66,5.71,3.56
id_000993,train,580,0.32,Ideal,H,VS1,61,56,4.43,4.45,2.71
id_000994,train,992,0.42,Premium,E,SI1,62.7,57,4.83,4.77,3.01
id_000995,train,687,0.4,Good,F,SI1,63.6,56,4.63,4.68,2.96
id_000996,valid,992,0.42,Premium,F,SI1,60.8,58,4.87,4.83,2.95
id_000997,train,7370,1.52,Good,J,VS2,63.5,58,7.24,7.28,4.61
id_000998,valid,4853,1.09,Very Good,F,SI2,63.2,58,6.54,6.49,4.12
id_000999,test,NA,1.68,Premium,F,SI1,60.7,62,7.72,7.66,4.67
id_001000,test,NA,0.34,Ideal,F,SI2,60.1,56,4.55,4.54,2.73
